Simulation,Step,Space,Star,Planet,Asteroid,Energy,Black_Hole,Antimatter
0,355,29399,868,1264,4492,2038,1939,0
0,356,29381,866,1267,4503,2029,1954,0
0,357,29373,865,1271,4515,2013,1963,0
0,358,29355,865,1274,4516,2011,1979,0
0,359,29333,865,1273,4517,2020,1992,0
0,360,29304,865,1273,4514,2045,1999,0
0,361,29302,865,1273,4504,2044,2012,0
0,362,29266,866,1272,4505,2058,2033,0
0,363,29247,865,1274,4507,2059,2048,0
0,364,29249,866,1271,4510,2037,2067,0
0,365,29235,864,1270,4511,2038,2082,0
0,366,29227,862,1273,4508,2037,2093,0
0,367,29210,864,1270,4509,2040,2107,0
0,368,29205,864,1272,4512,2026,2121,0
0,369,29206,861,1269,4511,2011,2142,0
0,370,29203,858,1271,4500,2012,2156,0
0,371,29217,855,1269,4492,2002,2165,0
0,372,29210,857,1261,4499,1993,2180,0
0,373,29209,857,1264,4494,1984,2192,0
0,374,29195,856,1265,4496,1986,2202,0
0,375,29176,855,1264,4502,1984,2219,0
0,376,29158,852,1266,4502,1989,2233,0
0,377,29147,851,1265,4506,1986,2245,0
0,378,29118,849,1263,4516,1984,2270,0
0,379,29133,843,1263,4505,1967,2289,0
0,380,29150,838,1268,4499,1947,2298,0
0,381,29142,837,1271,4492,1935,2323,0
0,382,29134,834,1273,4489,1924,2346,0
0,383,29124,832,1274,4482,1919,2369,0
0,384,29124,830,1278,4480,1907,2381,0
0,385,29087,830,1282,4474,1930,2397,0
0,386,29079,832,1281,4476,1921,2411,0
0,387,29075,832,1285,4478,1906,2424,0
0,388,29064,832,1285,4475,1908,2436,0
0,389,29053,833,1282,4473,1902,2457,0
0,390,29044,835,1280,4471,1899,2471,0
0,391,29051,833,1278,4463,1887,2488,0
0,392,29051,832,1282,4459,1869,2507,0
0,393,29040,833,1285,4453,1868,2521,0
0,394,29036,833,1289,4451,1853,2538,0
0,395,29045,833,1286,4450,1831,2555,0
0,396,29032,830,1291,4445,1833,2569,0
0,397,29011,829,1295,4445,1836,2584,0
0,398,29006,830,1292,4446,1831,2595,0
0,399,28993,827,1292,4453,1818,2617,0
0,400,28978,828,1291,4450,1825,2628,0
0,401,28967,830,1291,4447,1819,2646,0
0,402,28961,834,1292,4442,1810,2661,0
0,403,28947,836,1293,4434,1808,2682,0
0,404,28924,836,1293,4431,1823,2693,0
0,405,28900,836,1296,4433,1822,2713,0
0,406,28892,836,1298,4426,1819,2729,0
0,407,28884,834,1296,4429,1812,2745,0
0,408,28876,836,1299,4434,1792,2763,0
0,409,28864,839,1294,4430,1799,2774,0
0,410,28859,838,1294,4423,1796,2790,0
0,411,28854,842,1289,4416,1791,2808,0
0,412,28830,847,1281,4413,1799,2830,0
0,413,28816,845,1281,4410,1803,2845,0
0,414,28807,844,1283,4408,1789,2869,0
0,415,28830,841,1280,4397,1768,2884,0
0,416,28833,840,1278,4394,1753,2902,0
0,417,28828,838,1277,4394,1742,2921,0
0,418,28816,837,1271,4394,1745,2937,0
0,419,28797,837,1272,4391,1746,2957,0
0,420,28779,839,1272,4393,1748,2969,0
0,421,28757,833,1269,4387,1759,2995,0
0,422,28769,832,1265,4378,1745,3011,0
0,423,28766,828,1264,4371,1741,3030,0
0,424,28769,827,1265,4365,1729,3045,0
0,425,28756,826,1264,4368,1726,3060,0
0,426,28758,825,1265,4350,1725,3077,0
0,427,28771,826,1262,4346,1703,3092,0
0,428,28749,829,1255,4345,1708,3114,0
0,429,28746,827,1253,4341,1701,3132,0
0,430,28743,826,1255,4333,1696,3147,0
0,431,28732,825,1259,4325,1695,3164,0
0,432,28707,826,1259,4330,1694,3184,0
0,433,28708,829,1256,4325,1687,3195,0
0,434,28696,830,1258,4323,1684,3209,0
0,435,28682,831,1260,4321,1678,3228,0
0,436,28680,832,1257,4317,1676,3238,0
0,437,28666,832,1257,4310,1677,3258,0
0,438,28671,833,1257,4307,1660,3272,0
0,439,28666,830,1262,4304,1651,3287,0
0,440,28650,830,1259,4296,1647,3318,0
0,441,28650,829,1256,4291,1635,3339,0
0,442,28632,828,1259,4290,1634,3357,0
0,443,28627,828,1257,4288,1625,3375,0
0,444,28626,826,1259,4284,1615,3390,0
0,445,28602,826,1258,4273,1619,3422,0
0,446,28592,824,1254,4276,1606,3448,0
0,447,28580,821,1254,4278,1612,3455,0
0,448,28585,823,1252,4265,1603,3472,0
0,449,28564,822,1253,4259,1614,3488,0
0,450,28538,821,1251,4259,1622,3509,0
0,451,28544,820,1253,4248,1610,3525,0
0,452,28538,820,1252,4248,1598,3544,0
0,453,28523,821,1250,4243,1600,3563,0
0,454,28513,821,1253,4235,1593,3585,0
0,455,28499,817,1254,4227,1595,3608,0
0,456,28493,813,1255,4226,1580,3633,0
0,457,28484,811,1250,4223,1568,3664,0
0,458,28476,808,1249,4221,1574,3672,0
0,459,28456,806,1249,4216,1579,3694,0
0,460,28435,804,1249,4204,1587,3721,0
0,461,28431,805,1247,4197,1581,3739,0
0,462,28412,806,1248,4197,1565,3772,0
0,463,28410,809,1244,4202,1547,3788,0
0,464,28407,809,1240,4197,1541,3806,0
0,465,28381,808,1235,4195,1550,3831,0
0,466,28375,807,1229,4189,1541,3859,0
0,467,28351,805,1228,4190,1548,3878,0
0,468,28338,804,1230,4182,1548,3898,0
0,469,28333,800,1232,4176,1539,3920,0
0,470,28330,798,1231,4168,1542,3931,0
0,471,28318,795,1229,4162,1543,3953,0
0,472,28324,793,1230,4158,1531,3964,0
0,473,28315,792,1230,4151,1533,3979,0
0,474,28305,790,1227,4142,1534,4002,0
0,475,28282,784,1229,4133,1535,4037,0
0,476,28275,787,1226,4120,1535,4057,0
0,477,28279,789,1221,4110,1530,4071,0
0,478,28274,785,1223,4105,1521,4092,0
0,479,28259,784,1220,4104,1521,4112,0
0,480,28253,780,1222,4091,1522,4132,0
0,481,28257,779,1217,4094,1505,4148,0
0,482,28262,776,1213,4087,1498,4164,0
0,483,28245,779,1212,4089,1485,4190,0
0,484,28235,777,1209,4080,1490,4209,0
0,485,28230,774,1212,4074,1477,4233,0
0,486,28227,773,1211,4065,1466,4258,0
0,487,28210,771,1212,4060,1467,4280,0
0,488,28196,771,1211,4057,1460,4305,0
0,489,28177,775,1205,4052,1465,4326,0
0,490,28167,773,1203,4051,1451,4355,0
0,491,28182,769,1198,4041,1438,4372,0
0,492,28172,769,1200,4027,1439,4393,0
0,493,28153,769,1198,4026,1432,4422,0
0,494,28128,770,1203,4019,1435,4445,0
0,495,28110,769,1203,4014,1438,4466,0
0,496,28098,768,1198,4006,1441,4489,0
0,497,28096,767,1189,3996,1428,4524,0
0,498,28093,767,1181,3988,1419,4552,0
0,499,28081,765,1180,3980,1420,4574,0
0,500,28073,767,1173,3972,1409,4606,0
0,501,28077,767,1172,3954,1395,4635,0
0,502,28060,766,1169,3948,1392,4665,0
0,503,28055,765,1165,3936,1389,4690,0
0,504,28034,764,1165,3933,1395,4709,0
0,505,28027,764,1165,3926,1390,4728,0
0,506,28025,765,1163,3921,1381,4745,0
0,507,28006,761,1163,3916,1386,4768,0
0,508,28001,758,1160,3914,1372,4795,0
0,509,28008,754,1154,3895,1361,4828,0
0,510,27993,751,1148,3881,1372,4855,0
0,511,27997,748,1141,3876,1362,4876,0
0,512,27981,747,1139,3872,1366,4895,0
0,513,27972,745,1138,3865,1357,4923,0
0,514,27960,741,1136,3867,1352,4944,0
0,515,27923,736,1141,3863,1360,4977,0
0,516,27918,734,1139,3847,1356,5006,0
0,517,27927,730,1133,3828,1352,5030,0
0,518,27935,729,1134,3823,1331,5048,0
0,519,27919,728,1134,3821,1323,5075,0
0,520,27920,728,1131,3815,1305,5101,0
0,521,27902,724,1130,3817,1297,5130,0
0,522,27896,723,1126,3808,1305,5142,0
0,523,27884,723,1127,3804,1298,5164,0
0,524,27891,726,1123,3795,1282,5183,0
0,525,27875,726,1121,3785,1287,5206,0
0,526,27856,724,1125,3780,1294,5221,0
0,527,27832,724,1119,3778,1293,5254,0
0,528,27830,726,1117,3770,1285,5272,0
0,529,27809,726,1116,3763,1297,5289,0
0,530,27765,728,1110,3761,1321,5315,0
0,531,27752,729,1108,3758,1317,5336,0
0,532,27737,730,1107,3755,1318,5353,0
0,533,27723,729,1107,3751,1313,5377,0
0,534,27719,728,1103,3742,1308,5400,0
0,535,27697,728,1099,3737,1314,5425,0
0,536,27664,725,1101,3733,1324,5453,0
0,537,27651,723,1098,3725,1331,5472,0
0,538,27639,722,1096,3716,1328,5499,0
0,539,27636,718,1094,3712,1318,5522,0
0,540,27630,717,1092,3695,1321,5545,0
0,541,27611,714,1092,3682,1326,5575,0
0,542,27604,713,1094,3678,1315,5596,0
0,543,27586,709,1091,3676,1312,5626,0
0,544,27586,708,1089,3660,1298,5659,0
0,545,27563,708,1088,3656,1308,5677,0
0,546,27561,705,1086,3653,1298,5697,0
0,547,27565,705,1086,3638,1287,5719,0
0,548,27555,704,1083,3629,1282,5747,0
0,549,27551,699,1084,3619,1269,5778,0
0,550,27532,697,1086,3612,1272,5801,0
0,551,27529,698,1087,3602,1261,5823,0
0,552,27532,700,1087,3585,1253,5843,0
0,553,27521,697,1084,3585,1249,5864,0
0,554,27516,698,1079,3577,1247,5883,0
0,555,27496,693,1080,3574,1245,5912,0
0,556,27491,692,1078,3570,1222,5947,0
0,557,27470,688,1077,3563,1227,5975,0
0,558,27456,689,1078,3554,1226,5997,0
0,559,27420,686,1073,3554,1238,6029,0
0,560,27383,686,1069,3548,1250,6064,0
0,561,27386,686,1068,3537,1237,6086,0
0,562,27369,685,1066,3537,1230,6113,0
0,563,27356,685,1066,3527,1227,6139,0
0,564,27348,684,1066,3511,1221,6170,0
0,565,27344,678,1063,3515,1207,6193,0
0,566,27321,676,1062,3510,1211,6220,0
0,567,27302,676,1067,3497,1208,6250,0
0,568,27268,676,1063,3487,1222,6284,0
0,569,27265,675,1060,3481,1211,6308,0
0,570,27245,677,1055,3468,1219,6336,0
0,571,27225,676,1052,3467,1212,6368,0
0,572,27216,673,1050,3466,1203,6392,0
0,573,27194,673,1050,3462,1196,6425,0
0,574,27179,675,1046,3459,1194,6447,0
0,575,27163,673,1044,3451,1189,6480,0
0,576,27137,672,1040,3448,1194,6509,0
0,577,27129,670,1037,3441,1184,6539,0
0,578,27090,669,1039,3436,1198,6568,0
0,579,27088,667,1038,3428,1188,6591,0
0,580,27066,665,1040,3428,1188,6613,0
0,581,27045,664,1037,3422,1194,6638,0
0,582,27022,663,1039,3417,1180,6679,0
0,583,27002,659,1041,3404,1186,6708,0
0,584,26979,657,1040,3393,1190,6741,0
0,585,26963,658,1036,3384,1190,6769,0
0,586,26963,655,1032,3373,1181,6796,0
0,587,26949,654,1032,3367,1177,6821,0
0,588,26916,655,1030,3359,1185,6855,0
0,589,26912,653,1031,3351,1173,6880,0
0,590,26893,651,1025,3346,1183,6902,0
0,591,26863,652,1022,3344,1185,6934,0
0,592,26851,649,1019,3337,1174,6970,0
0,593,26828,645,1018,3329,1183,6997,0
0,594,26830,644,1017,3322,1163,7024,0
0,595,26812,643,1016,3313,1164,7052,0
0,596,26799,646,1009,3304,1169,7073,0
0,597,26796,647,1006,3295,1150,7106,0
0,598,26784,649,1002,3291,1140,7134,0
0,599,26749,648,999,3289,1156,7159,0
0,600,26737,646,995,3291,1149,7182,0
0,601,26699,643,996,3284,1171,7207,0
0,602,26673,645,998,3277,1174,7233,0
0,603,26654,647,993,3273,1169,7264,0
0,604,26635,646,988,3271,1158,7302,0
