Simulation,Step,Space,Star,Planet,Asteroid,Energy,Black_Hole,Antimatter
0,253,29733,955,1283,4499,2448,1082,0
0,254,29719,955,1287,4504,2451,1084,0
0,255,29709,952,1287,4513,2453,1086,0
0,256,29709,952,1285,4536,2420,1098,0
0,257,29721,949,1282,4533,2408,1107,0
0,258,29722,946,1284,4539,2394,1115,0
0,259,29706,943,1284,4552,2397,1118,0
0,260,29708,942,1283,4564,2377,1126,0
0,261,29665,943,1283,4571,2402,1136,0
0,262,29662,943,1284,4576,2391,1144,0
0,263,29655,946,1284,4578,2381,1156,0
0,264,29650,944,1287,4583,2371,1165,0
0,265,29621,941,1291,4584,2390,1173,0
0,266,29627,938,1291,4581,2380,1183,0
0,267,29638,938,1292,4576,2365,1191,0
0,268,29637,935,1292,4587,2347,1202,0
0,269,29640,933,1290,4588,2341,1208,0
0,270,29616,931,1291,4596,2354,1212,0
0,271,29610,928,1291,4608,2350,1213,0
0,272,29591,930,1287,4617,2351,1224,0
0,273,29573,929,1285,4625,2360,1228,0
0,274,29530,930,1284,4643,2373,1240,0
0,275,29510,928,1282,4654,2371,1255,0
0,276,29514,928,1282,4656,2359,1261,0
0,277,29498,924,1285,4655,2370,1268,0
0,278,29510,927,1282,4652,2344,1285,0
0,279,29530,922,1281,4662,2307,1298,0
0,280,29495,921,1282,4668,2323,1311,0
0,281,29488,919,1285,4664,2321,1323,0
0,282,29492,920,1282,4658,2318,1330,0
0,283,29491,920,1286,4660,2304,1339,0
0,284,29446,919,1287,4659,2336,1353,0
0,285,29428,919,1288,4663,2342,1360,0
0,286,29419,918,1289,4671,2335,1368,0
0,287,29397,917,1291,4679,2341,1375,0
0,288,29374,916,1292,4687,2348,1383,0
0,289,29366,916,1294,4696,2335,1393,0
0,290,29362,914,1295,4695,2332,1402,0
0,291,29360,914,1296,4688,2326,1416,0
0,292,29325,911,1294,4699,2346,1425,0
0,293,29307,909,1293,4698,2357,1436,0
0,294,29304,908,1297,4698,2352,1441,0
0,295,29297,905,1295,4710,2340,1453,0
0,296,29315,904,1298,4707,2311,1465,0
0,297,29315,902,1297,4707,2298,1481,0
0,298,29329,900,1293,4719,2265,1494,0
0,299,29327,898,1296,4721,2250,1508,0
0,300,29319,894,1298,4734,2230,1525,0
0,301,29295,894,1298,4732,2244,1537,0
0,302,29292,893,1300,4730,2228,1557,0
0,303,29267,891,1297,4736,2243,1566,0
0,304,29277,889,1296,4729,2227,1582,0
0,305,29243,888,1300,4724,2257,1588,0
0,306,29246,887,1302,4731,2233,1601,0
0,307,29229,888,1302,4736,2225,1620,0
0,308,29199,886,1306,4735,2242,1632,0
0,309,29205,882,1308,4739,2224,1642,0
0,310,29217,882,1310,4732,2211,1648,0
0,311,29209,880,1313,4744,2190,1664,0
0,312,29198,879,1316,4738,2193,1676,0
0,313,29183,879,1318,4740,2189,1691,0
0,314,29182,878,1320,4740,2177,1703,0
0,315,29184,875,1320,4735,2174,1712,0
0,316,29181,871,1321,4737,2166,1724,0
0,317,29188,872,1320,4727,2156,1737,0
0,318,29157,872,1320,4737,2170,1744,0
0,319,29134,872,1320,4746,2178,1750,0
0,320,29139,871,1320,4747,2163,1760,0
0,321,29124,868,1322,4755,2150,1781,0
0,322,29113,871,1319,4761,2147,1789,0
0,323,29110,869,1326,4754,2136,1805,0
0,324,29084,869,1334,4756,2140,1817,0
0,325,29083,870,1331,4760,2123,1833,0
0,326,29067,871,1330,4755,2132,1845,0
0,327,29044,873,1328,4757,2144,1854,0
0,328,29027,875,1330,4762,2142,1864,0
0,329,29031,876,1331,4762,2124,1876,0
0,330,29030,875,1329,4754,2115,1897,0
0,331,29007,872,1324,4766,2115,1916,0
0,332,29000,875,1325,4764,2101,1935,0
0,333,29004,874,1323,4764,2092,1943,0
0,334,29000,873,1322,4760,2090,1955,0
0,335,28988,873,1324,4761,2084,1970,0
0,336,29001,873,1320,4746,2074,1986,0
0,337,28982,872,1321,4751,2073,2001,0
0,338,28984,870,1316,4749,2068,2013,0
0,339,28970,871,1319,4757,2057,2026,0
0,340,28954,871,1322,4762,2055,2036,0
0,341,28925,873,1322,4772,2069,2039,0
0,342,28921,871,1322,4787,2050,2049,0
0,343,28915,875,1319,4788,2044,2059,0
0,344,28898,876,1322,4785,2044,2075,0
0,345,28905,875,1321,4785,2023,2091,0
0,346,28880,876,1319,4789,2038,2098,0
0,347,28859,875,1322,4775,2053,2116,0
0,348,28870,872,1323,4765,2043,2127,0
0,349,28877,872,1323,4750,2038,2140,0
0,350,28870,872,1322,4745,2041,2150,0
0,351,28861,875,1318,4745,2034,2167,0
0,352,28842,876,1320,4751,2028,2183,0
0,353,28845,878,1320,4747,2014,2196,0
0,354,28827,881,1320,4747,2003,2222,0
0,355,28818,880,1320,4743,2005,2234,0
0,356,28805,880,1320,4747,1989,2259,0
0,357,28797,879,1325,4749,1979,2271,0
0,358,28789,879,1327,4739,1984,2282,0
0,359,28768,879,1320,4739,1994,2300,0
0,360,28764,881,1319,4734,1985,2317,0
0,361,28747,878,1326,4720,1993,2336,0
0,362,28755,875,1326,4713,1974,2357,0
0,363,28756,877,1322,4700,1976,2369,0
0,364,28756,878,1317,4704,1962,2383,0
0,365,28746,878,1320,4707,1950,2399,0
0,366,28745,878,1323,4691,1952,2411,0
0,367,28734,877,1327,4694,1938,2430,0
0,368,28720,876,1333,4687,1938,2446,0
0,369,28701,878,1324,4695,1937,2465,0
0,370,28676,878,1327,4697,1951,2471,0
0,371,28680,880,1326,4702,1927,2485,0
0,372,28689,875,1328,4689,1913,2506,0
0,373,28694,875,1323,4683,1903,2522,0
0,374,28676,878,1323,4685,1898,2540,0
0,375,28681,879,1325,4681,1875,2559,0
0,376,28669,879,1326,4681,1876,2569,0
0,377,28633,882,1330,4691,1884,2580,0
0,378,28619,883,1331,4695,1869,2603,0
0,379,28612,883,1333,4688,1862,2622,0
0,380,28608,882,1335,4681,1849,2645,0
0,381,28608,879,1339,4671,1843,2660,0
0,382,28602,879,1338,4669,1844,2668,0
0,383,28581,879,1340,4666,1850,2684,0
0,384,28546,879,1342,4664,1863,2706,0
0,385,28546,882,1338,4656,1852,2726,0
0,386,28547,880,1338,4654,1833,2748,0
0,387,28522,884,1337,4647,1845,2765,0
0,388,28507,880,1338,4646,1846,2783,0
0,389,28475,876,1337,4654,1850,2808,0
0,390,28478,872,1337,4647,1832,2834,0
0,391,28462,871,1335,4637,1849,2846,0
0,392,28442,874,1331,4627,1864,2862,0
0,393,28445,874,1330,4622,1850,2879,0
0,394,28423,874,1329,4624,1851,2899,0
0,395,28418,872,1323,4622,1847,2918,0
0,396,28395,873,1326,4621,1845,2940,0
0,397,28405,873,1320,4622,1828,2952,0
0,398,28397,870,1314,4613,1837,2969,0
0,399,28403,866,1313,4602,1829,2987,0
0,400,28411,867,1314,4593,1811,3004,0
0,401,28392,867,1313,4586,1812,3030,0
0,402,28389,867,1313,4574,1812,3045,0
