Generation,Individual,Fitness,Density,Avg_Neighbors
10,10,6367,0.478,3.824
10,11,6224,0.484,3.872
10,12,6431,0.4944,3.9552
10,13,5732,0.4856,3.8848
10,14,5791,0.4968,3.9744
10,15,6487,0.4676,3.7408
10,16,6475,0.4676,3.7408
10,17,6486,0.4884,3.9072
10,18,6359,0.4776,3.8208
10,19,6265,0.4612,3.6896
10,20,5982,0.4868,3.8944
10,21,5693,0.4992,3.9936
10,22,5776,0.4836,3.8688
10,23,6300,0.4736,3.7888
10,24,5992,0.478,3.824
10,25,6599,0.4836,3.8688
10,26,6625,0.482,3.856
10,27,6340,0.4832,3.8656
10,28,6303,0.4744,3.7952
10,29,6008,0.472,3.776
10,30,5743,0.504,4.032
10,31,5508,0.5,4.0
10,32,6519,0.4704,3.7632
10,33,5656,0.4972,3.9776
10,34,5864,0.4836,3.8688
10,35,6404,0.4776,3.8208
10,36,6047,0.4804,3.8432
10,37,6301,0.4844,3.8752
10,38,5923,0.4932,3.9456
10,39,5940,0.482,3.856
10,40,6422,0.4884,3.9072
10,41,5923,0.4948,3.9584
10,42,6395,0.4876,3.9008
10,43,6451,0.4792,3.8336
10,44,6580,0.4864,3.8912
10,45,6096,0.4796,3.8368
10,46,6394,0.474,3.792
10,47,6477,0.4892,3.9136
10,48,5740,0.4912,3.9296
10,49,5435,0.4996,3.9968
11,0,6114,0.4776,3.8208
11,1,6580,0.4748,3.7984
11,2,5670,0.4884,3.9072
11,3,5812,0.4856,3.8848
11,4,6401,0.49,3.92
11,5,6190,0.4872,3.8976
11,6,6267,0.4896,3.9168
11,7,7155,0.4592,3.6736
11,8,6326,0.488,3.904
11,9,6249,0.4684,3.7472
11,10,6173,0.4908,3.9264
11,11,5903,0.4956,3.9648
11,12,6255,0.4912,3.9296
11,13,5720,0.4944,3.9552
11,14,6177,0.4764,3.8112
11,15,6366,0.4928,3.9424
11,16,6605,0.482,3.856
11,17,6129,0.4816,3.8528
11,18,5751,0.4832,3.8656
11,19,6692,0.4836,3.8688
11,20,5866,0.4908,3.9264
11,21,6042,0.4872,3.8976
11,22,6135,0.4912,3.9296
11,23,5849,0.4976,3.9808
11,24,6147,0.4704,3.7632
11,25,6514,0.4844,3.8752
11,26,6124,0.4924,3.9392
11,27,6304,0.4792,3.8336
11,28,6467,0.4948,3.9584
11,29,6246,0.4968,3.9744
11,30,6169,0.4948,3.9584
11,31,6114,0.494,3.952
11,32,5908,0.4796,3.8368
11,33,5516,0.484,3.872
11,34,5836,0.498,3.984
11,35,6100,0.4708,3.7664
11,36,5828,0.4988,3.9904
11,37,6053,0.4924,3.9392
11,38,5836,0.4872,3.8976
